year,portfolio_return,benchmark_return,active_return,active_share,max_sector_deviation,max_ig_deviation,passed_sector_constraint,passed_ig_constraint,coverage_pct,n_stocks
2000,-12.689599586634984,-9.1,-3.589599586634984,35.88174522990984,2.0000000000000107,2.0000000000000044,True,True,100.0,60
2001,-13.786709469623855,-11.89,-1.896709469623854,38.758419292188236,2.0000000000000018,2.0,True,True,100.0,60
2002,-22.8047545975154,-22.1,-0.7047545975154001,40.50861655160997,2.0000000000000053,2.000000000000007,True,True,100.0,60
2003,25.974209397058342,28.68,-2.705790602941658,41.02983047854167,2.000000000000001,2.0000000000000036,True,True,100.0,60
2004,9.388976511728519,10.88,-1.4910234882714821,43.424853400921876,2.0000000000000018,2.0000000000000018,True,True,100.0,60
2005,1.382717571470944,4.91,-3.5272824285290563,45.53284177840612,2.0000000000000036,2.0000000000000036,True,True,100.0,60
2006,16.098946716264788,15.79,0.30894671626478853,47.18838431687644,2.0000000000000053,2.0000000000000036,True,True,100.0,60
2007,6.005867904111259,5.49,0.5158679041112588,45.99605802065285,2.0000000000000036,2.000000000000001,True,True,100.0,60
2008,-33.734529320133795,-37.0,3.2654706798662048,46.45562053681084,2.000000000000001,2.000000000000001,True,True,100.0,60
2009,20.727372644743184,26.46,-5.732627355256817,42.48514837560866,2.0000000000000018,2.000000000000001,True,True,100.0,60
2010,10.858190355808997,15.06,-4.201809644191004,45.17063017820425,2.0000000000000036,2.0000000000000036,True,True,100.0,60
2011,3.467109693648268,2.11,1.357109693648268,46.442602948995265,2.000000000000007,2.0000000000000036,True,True,100.0,60
2012,17.912628939327263,16.0,1.9126289393272629,46.04995550710298,1.9578468675522398,2.0000000000000004,True,True,100.0,60
2013,29.127523872140095,32.39,-3.2624761278599053,46.93431729914201,2.0000000000000018,2.0000000000000018,True,True,100.0,60
2014,13.122895833542497,13.69,-0.5671041664575025,49.07798020703141,2.0000000000000053,2.0000000000000053,True,True,100.0,60
2015,5.434349704276213,1.38,4.054349704276213,50.13347864718618,2.0000000000000018,2.0000000000000018,True,True,100.0,60
2016,10.82735287027742,11.96,-1.1326471297225815,47.9578978407844,2.0,2.0000000000000018,True,True,100.0,60
2017,23.046685239760713,21.83,1.2166852397607144,48.421618184091614,2.0000000000000036,2.0000000000000018,True,True,100.0,60
2018,-2.53223033731219,-4.38,1.84776966268781,47.43684633420839,2.0000000000000036,1.9999999999999982,True,True,100.0,60
2019,32.554068846188166,31.49,1.0640688461881673,45.50548630255311,2.0,1.9999999999999996,True,True,100.0,60
2020,18.12353493137107,18.4,-0.27646506862893006,44.83786754564369,2.0,2.0000000000000053,True,True,100.0,60
2021,27.09772981691429,28.71,-1.6122701830857125,41.81514111784848,2.0000000000000053,2.0000000000000036,True,True,100.0,60
2022,-18.382577936696606,-18.11,-0.27257793669660657,41.60996806963041,2.0000000000000018,2.0,True,True,100.0,60
2023,28.99656497720724,26.29,2.7065649772072398,44.692226288353986,2.0000000000000036,2.0000000000000036,True,True,100.0,60
2024,26.72484234836757,25.02,1.7048423483675705,40.36115447201875,2.0000000000000036,2.000000000000007,True,True,100.0,60
2025,19.50285254213123,17.88,1.6228525421312305,36.49727522889643,2.0000000000000018,2.0000000000000036,True,True,100.0,60
